probe,p_val,t_stat,p_adj
236179_at,1.9697860484451707e-22,11.946664100904176,9.056283604112782e-22
213943_at,1.9890478075435195e-22,12.177422306265829,9.117461656733917e-22
204007_at,2.096475457066293e-22,12.24446089906786,9.581205745577595e-22
238750_at,2.189855187201006e-22,-11.805588488200115,9.978179439299822e-22
210107_at,2.447046580148576e-22,-12.089732286856611,1.1116997965007329e-21
230615_at,2.878669314083601e-22,-12.065231820762808,1.3039179644562112e-21
221874_at,2.912107095478456e-22,-11.942483600985366,1.3151728504948425e-21
227662_at,2.975906910152761e-22,13.648530532599246,1.3400333763070227e-21
228224_at,3.010136262975355e-22,14.111402769406702,1.3514717356643014e-21
203766_s_at,3.0989530246031514e-22,13.883361746243224,1.38727984814837e-21
226545_at,3.277926648648257e-22,11.757554758815248,1.4631211950671957e-21
229327_s_at,3.8671827750674194e-22,13.053635704494404,1.7211211711128543e-21
209541_at,4.235885538239498e-22,13.287509538426702,1.8797509446506294e-21
230730_at,4.364609410874764e-22,13.519788912281923,1.9312765919217526e-21
224352_s_at,4.458961531894174e-22,12.58473394648015,1.967340087991349e-21
214587_at,4.655713058780387e-22,13.96963663302509,2.0482461761473483e-21
236600_at,4.883836442076192e-22,13.87335957075095,2.1424508861944555e-21
238668_at,5.4397829259106725e-22,12.17019780103234,2.37951647416264e-21
205422_s_at,6.597403283241748e-22,13.851251163849144,2.8776707768214008e-21
